sample_name,target_name,reporter,ct_mean,ct_sd,quantity_mean,quantity_sd,y_int,r_2,slope,efficiency,ct_threshold,baseline_start,baseline_end,cq_conf,plate,river,location,day,month,year,filter_method,volume_filtered_ml,sample_time,filter_time,time_from_sample_to_filter_hm,extracted_day,days_from_filter_to_extract,qpcr_day,days_from_extract_to_qpcr
LL_SFA1A,BHC,VIC,,,0,,43.465,0.993,-3.540,91.654,0.045,3,54,0.000,22Carp_01,big sioux,above,17,august,2021,field,375,08:00,12:15,04:15,2-Nov-21,78,6-Feb-22,97
LL_SFA1A,SVC,FAM,,,0,,42.710,0.993,-3.532,91.922,0.056,3,54,0.000,22Carp_01,big sioux,above,17,august,2021,field,375,08:00,12:15,04:15,2-Nov-21,78,6-Feb-22,97
LL_SFA1B,BHC,VIC,,,0,,43.465,0.993,-3.540,91.654,0.045,3,54,0.000,22Carp_01,big sioux,above,17,august,2021,lab,400,08:00,13:30,05:30,4-Nov-21,80,6-Feb-22,95
LL_SFA1B,SVC,FAM,,,0,,42.710,0.993,-3.532,91.922,0.056,3,54,0.000,22Carp_01,big sioux,above,17,august,2021,lab,400,08:00,13:30,05:30,4-Nov-21,80,6-Feb-22,95
LL_SFB1A,BHC,VIC,41.033,4.376,17.134,15.629,43.465,0.993,-3.540,91.654,0.045,3,35,0.965,22Carp_01,big sioux,below,17,august,2021,field,600,07:25,12:15,04:50,20-Oct-21,65,6-Feb-22,110
LL_SFB1A,SVC,FAM,41.177,3.427,7.824,9.628,42.710,0.993,-3.532,91.922,0.056,3,39,0.869,22Carp_01,big sioux,below,17,august,2021,field,600,07:25,12:15,04:50,20-Oct-21,65,6-Feb-22,110
LL_SFB1B,BHC,VIC,36.681,1.585,105.479,92.868,43.465,0.993,-3.540,91.654,0.045,3,34,0.920,22Carp_01,big sioux,below,17,august,2021,lab,550,07:25,14:00,06:35,20-Oct-21,65,6-Feb-22,110
LL_SFB1B,SVC,FAM,40.715,2.184,7.219,9.501,42.710,0.993,-3.532,91.922,0.056,3,37,0.916,22Carp_01,big sioux,below,17,august,2021,lab,550,07:25,14:00,06:35,20-Oct-21,65,6-Feb-22,110
LL_SFB2A,BHC,VIC,40.538,3.838,21.813,25.803,43.465,0.993,-3.540,91.654,0.045,3,36,0.886,22Carp_01,big sioux,below,17,august,2021,field,550,07:35,12:10,04:35,20-Oct-21,65,6-Feb-22,110
LL_SFB2A,SVC,FAM,46.286,1.123,0.111,0.074,42.710,0.993,-3.532,91.922,0.056,3,36,0.287,22Carp_01,big sioux,below,17,august,2021,field,550,07:35,12:10,04:35,20-Oct-21,65,6-Feb-22,110
LL_SFB2B,BHC,VIC,45.342,0.890,0.332,0.208,43.465,0.993,-3.540,91.654,0.045,3,38,0.697,22Carp_01,big sioux,below,17,august,2021,lab,425,07:35,13:55,06:20,20-Oct-21,65,6-Feb-22,110
LL_SFB2B,SVC,FAM,42.805,3.321,3.281,4.256,42.710,0.993,-3.532,91.922,0.056,3,37,0.619,22Carp_01,big sioux,below,17,august,2021,lab,425,07:35,13:55,06:20,20-Oct-21,65,6-Feb-22,110
LL_SFB3A,BHC,VIC,37.072,0.156,64.145,6.488,43.465,0.993,-3.540,91.654,0.045,3,33,0.832,22Carp_01,big sioux,below,17,august,2021,field,400,07:45,12:05,04:20,20-Oct-21,65,6-Feb-22,110
LL_SFB3A,SVC,FAM,,,0.000,,42.710,0.993,-3.532,91.922,0.056,3,54,0.000,22Carp_01,big sioux,below,17,august,2021,field,400,07:45,12:05,04:20,20-Oct-21,65,6-Feb-22,110
LL_SFB3B,BHC,VIC,47.755,1.862,0.085,0.084,43.465,0.993,-3.540,91.654,0.045,3,43,0.694,22Carp_01,big sioux,below,17,august,2021,lab,425,07:45,13:45,06:00,20-Oct-21,65,6-Feb-22,110
LL_SFB3B,SVC,FAM,47.894,1.579,0.044,0.038,42.710,0.993,-3.532,91.922,0.056,3,43,0.776,22Carp_01,big sioux,below,17,august,2021,lab,425,07:45,13:45,06:00,20-Oct-21,65,6-Feb-22,110
LL_ASW1B,BHC,VIC,,,0.000,,43.465,0.993,-3.540,91.654,0.060,3,54,0.000,22Carp_02,vermillion,above,5,august,2021,lab,300,08:20,14:10,05:50,1-Sep-21,28,8-Feb-22,161
LL_ASW1B,SVC,FAM,,,0.000,,42.710,0.993,-3.532,91.922,0.097,3,54,0.000,22Carp_02,vermillion,above,5,august,2021,lab,300,08:20,14:10,05:50,1-Sep-21,28,8-Feb-22,161
LL_ASW2B,BHC,VIC,,,0.000,,43.465,0.993,-3.540,91.654,0.060,3,54,0.000,22Carp_02,vermillion,above,5,august,2021,lab,300,08:40,14:05,05:25,1-Sep-21,28,8-Feb-22,161
LL_ASW2B,SVC,FAM,,,0.000,,42.710,0.993,-3.532,91.922,0.097,3,54,0.000,22Carp_02,vermillion,above,5,august,2021,lab,300,08:40,14:05,05:25,1-Sep-21,28,8-Feb-22,161
